"r",,"u",,"y",,"fs",
3.8685,-0.61777,0.22491,-1.3471,0.10038,0.02889,78125,
1.953,1.3814,0.72028,-0.51189,0.096216,0.039423,,
-0.82223,2.6871,0.49974,-0.98375,0.089134,0.048236,,
-3.1081,3.1126,-0.0086807,-2.5348,0.080487,0.056873,,
-3.8665,3.0727,0.22633,-3.5915,0.071351,0.064951,,
-2.9806,2.7788,1.659,-2.8153,0.061536,0.070953,,
-1.3241,1.9064,3.4062,-0.57162,0.050277,0.074675,,
-0.12573,0.21333,4.0237,1.3328,0.038853,0.075639,,
-0.01353,-1.6976,2.9385,1.3755,0.028402,0.073821,,
-0.54889,-2.6221,0.8651,-0.16341,0.019492,0.069319,,
-0.75458,-1.9848,-0.64464,-1.5787,0.012709,0.062297,,
-0.17939,-0.6868,-0.55227,-1.5883,0.0082187,0.053021,,
0.61097,-0.38366,0.4657,-0.50321,0.0061451,0.041166,,
0.71325,-1.7405,1.0025,0.39111,0.0065888,0.026515,,
0.043714,-3.5486,0.43278,0.36641,0.0096051,0.010158,,
-0.3691,-3.8414,-0.58141,-0.11715,0.015379,-0.0068175,,
0.56169,-1.9666,-0.99426,-0.27763,0.023688,-0.02364,,
2.6411,0.61209,-0.61519,-0.18874,0.033912,-0.040063,,
4,1.7305,-0.18269,-0.66449,0.045407,-0.056922,,
4,0.68703,-0.33919,-1.9641,0.057278,-0.073649,,
2.008,-1.1547,-0.74998,-3.0054,0.069256,-0.089486,,
-0.17298,-1.9133,-0.47627,-2.2627,0.081422,-0.10468,,
-0.86112,-1.1176,0.82302,0.44391,0.092855,-0.11925,,
-0.016307,0.073788,2.2741,3.3018,0.10292,-0.13251,,
0.96849,0.41668,2.5561,4.1818,0.11214,-0.14415,,
0.85329,-0.042728,1.2627,2.7852,0.12136,-0.15364,,
-0.1991,-0.33765,-0.59557,0.24401,0.13041,-0.15933,,
-1.0169,-0.074089,-1.5231,-1.8794,0.13762,-0.16194,,
-0.87346,-0.058705,-0.91959,-2.2865,0.14281,-0.16445,,
-0.27059,-1.1836,0.49305,-1.4772,0.14692,-0.16751,,
-0.18869,-2.9262,1.5076,-0.89575,0.15005,-0.17035,,
-0.77085,-3.4478,1.5444,-1.1019,0.15289,-0.17114,,
-1.0581,-1.4576,0.99365,-1.4821,0.1558,-0.16989,,
-0.13382,2.1484,0.59854,-1.112,0.15894,-0.16818,,
1.6471,4,0.68021,0.15284,0.16235,-0.16575,,
2.8129,4,0.99077,1.5727,0.16605,-0.16356,,
2.2295,1.8455,1.1036,2.1841,0.17009,-0.1613,,
0.29933,-1.0903,0.82737,1.545,0.17452,-0.15818,,
-1.3832,-2.3391,0.27666,-0.0069074,0.17945,-0.15286,,
-1.5398,-1.8698,-0.26484,-1.568,0.18494,-0.14642,,
-0.31127,-1.0599,-0.46589,-2.1266,0.1908,-0.14078,,
1.0815,-1.0196,-0.068349,-1.153,0.19682,-0.13492,,
1.6003,-1.5613,0.89339,0.9414,0.20295,-0.12991,,
1.2272,-1.6808,1.944,2.8618,0.20915,-0.12597,,
0.68248,-0.75905,2.3962,3.2537,0.2155,-0.12036,,
0.55777,0.82122,1.9432,1.8497,0.22196,-0.11251,,
0.83301,2.0654,1.0594,-0.17513,0.22843,-0.10287,,
1.1007,2.1655,0.64863,-1.1658,0.23487,-0.093014,,
1.0373,1.0024,1.1328,-0.47945,0.24116,-0.085491,,
0.60672,-0.81252,1.9028,0.92505,0.24721,-0.079828,,
-0.014307,-2.2057,1.8134,1.4482,0.25302,-0.074458,,
-0.52205,-2.1665,0.34045,0.43881,0.2587,-0.069476,,
-0.53934,-0.45337,-1.7334,-1.1425,0.26424,-0.065635,,
0.17235,1.9847,-2.8953,-1.6656,0.26957,-0.063014,,
1.379,3.4757,-2.2469,-0.41092,0.27436,-0.062173,,
2.338,2.9145,-0.29508,1.7805,0.27783,-0.063269,,
2.3453,0.81144,1.5389,3.2889,0.279,-0.065866,,
1.4628,-1.0361,2.1409,3.082,0.27872,-0.068589,,
0.60436,-1.1436,1.5798,1.477,0.27952,-0.069732,,
0.69141,0.2726,0.86771,-0.26016,0.28076,-0.070722,,
1.6368,1.5399,0.93478,-0.92364,0.28039,-0.072792,,
2.2755,1.2129,1.8772,-0.15473,0.27872,-0.073931,,
1.4677,-0.48337,2.9811,1.3951,0.27626,-0.073954,,
-0.67013,-1.8866,3.3399,2.5162,0.27315,-0.072416,,
-2.694,-1.5212,2.4924,2.2332,0.26992,-0.068484,,
-3.0732,0.52652,0.67307,0.57549,0.2668,-0.062098,,
-1.5563,2.7432,-1.3779,-1.2846,0.26395,-0.053104,,
0.64916,3.5453,-2.8641,-1.8364,0.26151,-0.041857,,
1.9974,2.5194,-3.367,-0.52226,0.25942,-0.028567,,
1.9045,0.57157,-2.9946,1.6306,0.25759,-0.013745,,
1.0585,-0.88076,-2.1368,2.764,0.25532,0.0024355,,
0.62438,-0.89442,-1.0913,1.8061,0.25128,0.020127,,
1.2049,0.45154,0.068488,-0.48407,0.24549,0.039495,,
2.4406,2.1261,1.2491,-2.2091,0.2397,0.05967,,
3.4,2.7816,2.0292,-2.0867,0.23349,0.079664,,
3.2843,1.7118,1.8485,-0.51614,0.22644,0.098,,
1.9197,-0.45784,0.67728,1.0225,0.21936,0.11304,,
-0.18489,-2.0531,-0.59433,1.4649,0.21163,0.12643,,
-2.1624,-1.6694,-0.71283,0.99871,0.2025,0.13908,,
-3.2961,0.48935,0.72704,0.53198,0.1914,0.14919,,
-3.4024,2.5985,2.6713,0.51776,0.17872,0.15683,,
-2.8016,2.7673,3.4205,0.56863,0.16597,0.1611,,
-1.9003,0.78774,2.2355,0.094583,0.15481,0.16156,,
-0.82176,-1.6577,0.12018,-0.93487,0.14505,0.15945,,
0.47613,-2.5851,-1.1569,-1.9964,0.1357,0.15534,,
1.7333,-1.5107,-0.82925,-2.6469,0.12729,0.14928,,
2.2468,0.31636,0.19962,-2.9009,0.11994,0.14073,,
1.4783,1.3419,0.49645,-2.9794,0.11329,0.12942,,
-0.12277,1.1766,-0.25949,-2.9229,0.10772,0.11571,,
-1.1449,0.62485,-0.98005,-2.6322,0.1041,0.10045,,
-0.40993,0.49752,-0.53967,-2.2001,0.1023,0.084514,,
1.7315,0.69935,0.79332,-1.9143,0.10086,0.068028,,
3.4832,0.53884,1.5926,-1.8087,0.099643,0.050828,,
3.2391,-0.32004,0.89133,-1.4243,0.099487,0.032954,,
1.1915,-1.4829,-0.6733,-0.32083,0.10122,0.014368,,
-0.83305,-2.36,-1.5675,1.1448,0.10407,-0.0048894,,
-1.2309,-2.7971,-1.0986,1.8549,0.10641,-0.024659,,
