"r",,"u",,"y",,"fs",
0.68462,0,1.0325,0.02082,-0.035855,0.013777,78125,
0.1664,0.00044673,0.28431,0.021618,-0.042889,0.015208,,
-0.12264,0.0009717,-0.047766,0.023426,-0.048677,0.016722,,
-0.23141,0.0015749,0.28707,0.024618,-0.054401,0.0182,,
-0.52179,0.0022564,0.74368,0.026259,-0.060569,0.01963,,
-1.1948,0.003016,0.60967,0.02786,-0.066274,0.020979,,
-1.9064,0.003854,-0.16285,0.029716,-0.070666,0.022263,,
-1.9724,0.0047701,-0.85277,0.031414,-0.073361,0.023431,,
-1.0536,0.0057645,-0.72631,0.033289,-0.075075,0.024462,,
0.37423,0.0068372,0.14405,0.035262,-0.076605,0.025441,,
1.3372,0.007988,0.91063,0.037185,-0.07792,0.026251,,
1.2438,0.0092171,0.7996,0.039402,-0.078116,0.026906,,
0.45191,0.010524,-0.12081,0.041589,-0.076304,0.027473,,
-0.10231,0.01191,-1.0635,0.043801,-0.072691,0.027896,,
0.12512,0.013374,-1.3655,0.04598,-0.068435,0.028208,,
0.73203,0.014916,-1.0836,0.048351,-0.06473,0.028415,,
0.84282,0.016536,-0.749,0.050902,-0.061904,0.028567,,
0.11558,0.018234,-0.67405,0.053501,-0.059286,0.028619,,
-0.82082,0.020011,-0.67294,0.056188,-0.056372,0.028623,,
-1.009,0.021865,-0.45478,0.059141,-0.053661,0.028605,,
-0.20694,0.023798,-0.12092,0.062051,-0.051687,0.02857,,
0.81056,0.025809,-0.055898,0.064879,-0.050738,0.028516,,
1.0344,0.027898,-0.34156,0.067806,-0.051002,0.028427,,
0.24078,0.030066,-0.50046,0.070564,-0.052462,0.028415,,
-0.84688,0.032311,-0.014481,0.073455,-0.05529,0.028433,,
-1.3737,0.034634,0.93497,0.076647,-0.059538,0.028501,,
-1.1955,0.037036,1.468,0.079977,-0.064994,0.028644,,
-0.84125,0.039515,0.90612,0.083245,-0.070982,0.028838,,
-0.75859,0.042072,-0.3731,0.086647,-0.076669,0.029148,,
-0.81404,0.044708,-1.1696,0.090369,-0.082066,0.029539,,
-0.62049,0.047421,-0.63995,0.093954,-0.088212,0.030081,,
-0.18786,0.050212,0.81286,0.097364,-0.095536,0.030738,,
0.012942,0.053081,1.933,0.10112,-0.1032,0.031465,,
-0.29597,0.056027,1.8635,0.10513,-0.10943,0.032332,,
-0.68437,0.059051,0.93606,0.10915,-0.11296,0.033306,,
-0.41075,0.062153,0.17446,0.11307,-0.11404,0.034413,,
0.6276,0.065333,0.14423,0.11691,-0.11395,0.035654,,
1.554,0.06859,0.47264,0.12099,-0.11289,0.037011,,
1.3463,0.071924,0.46709,0.12517,-0.11022,0.038484,,
0.017652,0.075336,0.014916,0.12951,-0.10569,0.040111,,
-1.2227,0.078824,-0.33763,0.13379,-0.098667,0.041825,,
-1.132,0.08239,-0.15123,0.1381,-0.089316,0.043673,,
0.28009,0.086034,0.28977,0.14249,-0.078333,0.045633,,
1.7516,0.089754,0.29148,0.14707,-0.065975,0.047677,,
2.0656,0.093551,-0.39031,0.15181,-0.052202,0.049852,,
1.2304,0.097424,-1.2041,0.15647,-0.036927,0.052127,,
0.29493,0.10137,-1.4155,0.16107,-0.020913,0.054472,,
0.10783,0.1054,-0.94904,0.16586,-0.005365,0.05691,,
0.47204,0.1095,-0.45025,0.17071,0.0089926,0.059437,,
0.58638,0.11368,-0.51818,0.17569,0.022209,0.062069,,
0.12403,0.11794,-1.0112,0.1808,0.034562,0.064802,,
